numOfAuthor,InitialPaperCost
1,19.816447000002313
2,20.133672999997998
1,19.816447000002313
3,20.45045800000196
4,20.767236000000366
2,20.133672999997998
5,21.084013999998774
3,20.45045800000196
6,21.400799000002735
7,21.717576999981247
4,20.767236000000366
8,22.033914000007826
9,22.35069199998634
10,22.66792500000747
5,21.084013999998774
11,22.984702999985984
12,23.30148799997005
6,21.400799000002735
13,23.617817999991075
14,23.93505100001221
15,24.251380999953653
7,21.717576999981247
16,24.5681660000173
17,24.885398999958852
8,22.033914000007826
18,25.202177000016945
19,25.51896200000101
20,25.835292000022037
9,22.35069199998634
21,26.151628999969034
22,26.469309999947654
23,26.785192000011193
10,22.66792500000747
24,27.102872999989813
25,27.418313999942256
26,27.735099000005903
11,22.984702999985984
27,28.052325000021483
28,28.369557999963035
29,28.68634300002668
12,23.30148799997005
30,29.003127999931166
31,29.31901700007984
32,29.636291999895548
13,23.617817999991075
33,29.953153999940696
34,30.270009000059872
14,23.93505100001221
35,30.587767000019994
36,30.902381999953832
37,31.22058799995102
15,24.251380999953653
38,31.53699500003313
39,31.85340900004121
40,32.17071200003829
16,24.5681660000173
41,32.48757399992428
42,32.80443599996943
17,24.885398999958852
43,33.121291000088604
44,33.4386009998525
45,33.754119000104765
18,25.202177000016945
46,34.07142899986866
47,34.387395000157994
19,25.51896200000101
48,34.704697999995915
49,35.0224560001152
50,35.33842200008621
20,25.835292000022037
51,35.656180000205495
52,35.97304199993232
21,26.151628999969034
53,36.2894559999404
54,36.605876999874454
55,36.9227460001639
22,26.469309999947654
56,37.23960799989072
57,37.557814000047074
58,37.87378000001809
23,26.785192000011193
59,38.1893120001223
60,38.50751799996033
24,27.102872999989813
61,38.82527600007961
62,39.141697000013664
25,27.418313999942256
63,39.4558780000807
64,39.77408399991873
65,40.09140099992692
26,27.735099000005903
66,40.40692600010516
67,40.72334700003921
27,28.052325000021483
68,41.04067099997337
69,41.35887700012972
70,41.67440199998964
28,28.369557999963035
71,41.99217399996087
72,42.3103799997989
73,42.62546399986604
29,28.68634300002668
74,42.9432289999113
75,43.257864999941376
30,29.003127999931166
76,43.57742199981658
77,43.89295399992079
78,44.20937500017317
31,29.31901700007984
79,44.528490999937276
80,44.83953600006316
32,29.636291999895548
81,45.159995999938474
82,45.4777679999097
83,45.795980999992025
33,29.953153999940696
84,46.111512999777915
85,46.42794099963794
34,30.270009000059872
86,46.74212199970498
87,47.06303699986165
88,47.37901700000293
35,30.587767000019994
89,47.697677999804
90,48.01366499987125
36,30.902381999953832
91,48.32919699965714
92,48.64428099972429
93,48.96205300001384
37,31.22058799995102
94,49.27982500030339
95,49.59715600016352
38,31.53699500003313
96,49.91179899980125
97,50.230018999809545
39,31.85340900004121
98,50.54645399959554
99,50.86108999994394
100,51.180206000026374
40,32.17071200003829
101,51.4979850002419
102,51.81486799974664
103,52.13085499981389
41,32.48757399992428
104,52.44638700023643
105,52.76640599968232
42,32.80443599996943
106,53.0837370001791
107,53.398828000172216
43,33.121291000088604
108,53.71526299995821
109,54.02856199980306
110,54.349476999959734
111,54.668159000175365
44,33.4386009998525
112,54.98593800039089
113,55.29923699959909
45,33.754119000104765
114,55.61522399966634
115,55.9321139997337
46,34.07142899986866
116,56.25079599994933
117,56.566783000016585
47,34.387395000157994
118,56.8818740000097
119,57.19786800000293
120,57.51699100001133
121,57.83523199979754
48,34.704697999995915
49,35.0224560001152
50,35.33842200008621
51,35.656180000205495
52,35.97304199993232
53,36.2894559999404
54,36.605876999874454
55,36.9227460001639
56,37.23960799989072
57,37.557814000047074
58,37.87378000001809
59,38.1893120001223
60,38.50751799996033
61,38.82527600007961
62,39.141697000013664
63,39.4558780000807
64,39.77408399991873
65,40.09140099992692
66,40.40692600010516
67,40.72334700003921
68,41.04067099997337
69,41.35887700012972
70,41.67440199998964
71,41.99217399996087
72,42.3103799997989
73,42.62546399986604
74,42.9432289999113
75,43.257864999941376
76,43.57742199981658
77,43.89295399992079
78,44.20937500017317
79,44.528490999937276
80,44.83953600006316
81,45.159995999938474
82,45.4777679999097
83,45.795980999992025
84,46.111512999777915
85,46.42794099963794
86,46.74212199970498
87,47.06303699986165
88,47.37901700000293
89,47.697677999804
90,48.01366499987125
91,48.32919699965714
92,48.64428099972429
93,48.96205300001384
94,49.27982500030339
95,49.59715600016352
96,49.91179899980125
97,50.230018999809545
98,50.54645399959554
99,50.86108999994394
100,51.180206000026374
101,51.4979850002419
102,51.81486799974664
103,52.13085499981389
104,52.44638700023643
105,52.76640599968232
106,53.0837370001791
107,53.398828000172216
109,54.02856199980306
108,53.71526299995821
110,54.349476999959734
111,54.668159000175365
112,54.98593800039089
113,55.29923699959909
114,55.61522399966634
115,55.9321139997337
116,56.25079599994933
117,56.566783000016585
118,56.8818740000097
119,57.19786800000293
120,57.51699100001133
121,57.83523199979754
