numOfAuthor,CreateCost
1,0.9649570000014762
2,1.4899569999940354
3,1.4899569999840878
4,1.4899569999840878
5,1.4899570000238782
6,1.4899569999840878
7,0.9649569999965024
8,1.4899569999442974
9,1.4899570000238782
10,1.4899569999442974
11,1.4895089999868105
12,1.4899570000238782
13,1.4899570000238782
14,1.4899570000238782
15,1.4899569999442974
16,1.4899570000238782
17,1.4899570000238782
18,1.4899570000238782
19,1.4899569999442974
20,1.4899570000238782
21,1.4899569999442974
22,1.4899569999442974
23,1.489957000103459
24,1.489957000103459
25,1.4899569999442974
26,1.489957000103459
27,1.489957000103459
28,1.4895090000663913
29,1.4899569999442974
30,1.4899569999442974
31,1.4899569999442974
32,1.4899569999442974
33,1.489957000103459
34,1.489957000103459
35,1.4899569999442974
36,1.4899569999442974
37,1.4899569999442974
38,1.4899569999442974
39,1.489957000103459
40,1.489957000103459
41,1.489957000103459
42,1.489957000103459
43,1.4899569997851358
44,1.4895090000663913
45,1.489957000103459
46,1.489957000103459
47,1.4899569997851358
48,1.4899569997851358
49,1.4899569997851358
50,1.489957000103459
51,1.489957000103459
52,1.489957000103459
53,1.4895090000663913
54,1.4899569997851358
55,1.489957000103459
56,1.489957000103459
57,1.489957000103459
58,1.489957000103459
59,1.489957000103459
60,1.489957000103459
61,1.489957000103459
62,1.489957000103459
63,1.489957000103459
64,1.4899569997851358
65,1.489957000103459
66,1.489957000103459
67,1.489957000103459
68,1.489957000103459
69,1.489957000103459
70,0.9649569999965024
71,0.9649569999965024
