numOfAuthor,TotalCost
1,28.344546999997533
2,29.383962999992264
3,30.423827000004167
4,31.46369100001607
5,32.50355499998818
6,33.54386699999736
7,34.58283500001471
8,35.62314700002389
9,36.662562999958936
10,37.70287499996812
11,38.74229099990316
12,39.78305099986983
13,40.82291499992152
14,41.86233099985657
15,42.90219499982868
16,43.94116299980624
17,44.98102699977835
18,46.02224199978764
19,47.06031399977064
20,48.10152199977438
21,49.141833999624396
22,50.17991299969253
23,51.221568999653755
24,52.26143299962587
25,53.30084899956091
26,54.339375999506956
27,55.37923999947907
28,56.41955199948825
29,57.45987099958256
30,58.49883899948054
31,59.53915099948972
32,60.5785739995099
33,61.61888599935992
34,62.658756999417164
35,63.69862099938928
36,64.73893999932443
37,65.77701199930743
38,66.81777899927965
39,67.85629899929972
40,68.89796199934608
41,69.9382739991961
42,70.9776969995346
43,72.01756099966587
44,73.05743199972312
45,74.0972959998544
46,75.13627100015583
47,76.17614200021308
48,77.21600600034435
49,78.2558770004016
50,79.29754000060711
51,80.33695600070132
52,81.37593100100275
53,82.41625000109707
54,83.45703800100637
55,84.49653800116721
56,85.53514200157224
57,86.5755380014889
58,87.61593400172387
59,88.65588200192178
60,89.69538200208262
61,90.73488200224347
62,91.77528500240442
63,92.81299300241699
64,93.85473300244485
65,94.89424000253166
66,95.93642800291491
67,96.97279900306057
68,98.0158900031256
69,99.05404600317524
70,100.09355300326206
71,101.131716003556
