numOfAuthor,Approvecost
1,0.5367040000010093
2,1.6885469999920133
3,2.2252509999930226
4,2.761955000013927
5,3.2986590000149363
6,3.8353629999960503
7,4.37206700007664
8,4.908770999998069
9,5.445474999999078
10,5.982179000000087
11,6.518883000001097
12,7.055587000002106
13,7.592291000003115
14,8.1227229998035
15,8.665699000084714
16,9.202403000006143
17,9.739107000007152
18,10.275811000087742
19,10.81251500000917
20,11.34921900001018
21,11.88592300009077
22,12.422626999932618
23,12.959331000092789
24,13.496035000093798
25,14.032739000094807
26,14.569443000095816
27,15.106147000096826
28,15.642851000097835
29,16.179555000098844
30,16.716259000099853
31,17.252963000100863
32,17.789667000101872
33,18.32637100010288
34,18.86307500010389
35,19.3997790001049
36,19.93648300010591
37,20.47318700010692
38,20.99286699901768
39,21.52912299898162
40,22.083299000109946
41,22.620003000110955
42,23.15670699963448
43,23.67414699915571
44,24.2301149996365
45,24.76681899979667
46,25.303522999638517
47,25.84022699916204
48,26.376930999322212
49,26.91363499916406
50,27.450338999005908
51,27.987042998847755
52,28.523746998689603
53,29.060450998213128
54,29.5971549983733
55,30.133858998215146
56,30.670562998056994
57,31.181731000879154
58,31.74397099774069
59,32.280674997264214
60,32.817378997424385
61,33.35408299726623
62,33.89078699710808
63,34.427490996631605
64,34.96419499647345
65,35.50089899663362
66,36.03760299647547
67,36.574306995998995
68,37.111010996159166
69,37.647714996001014
70,38.153059002479495
71,38.6893150026026
72,39.25782699552656
73,39.79453099505008
74,40.33123499489193
75,40.86793899473378
76,41.40464299489395
77,41.90685100334122
78,42.44310700346432
79,43.01475499410117
80,43.55145899426134
81,44.088162994103186
82,44.62486699458168
83,45.161570993150235
84,45.69827499362873
85,46.23497899347058
86,46.733155003494176
87,47.308386992517626
88,47.84509099299612
89,48.341923003863485
90,48.918498992679815
91,49.45520299252166
92,49.99190699236351
93,50.52861099156871
94,51.065314992047206
95,51.60201899125241
96,52.138722991094255
97,52.67542699157275
99,53.7488349906198
98,53.21213099077795
100,54.285538990461646
102,55.313251005463826
103,55.89565098998719
101,54.82224299094014
104,56.43235499046568
105,56.96905899030753
106,57.50576299014938
107,58.04246698935458
108,58.579170989833074
109,59.067043006962194
110,59.65257898888012
111,60.18928298935862
112,60.725986989200464
113,61.26269098904231
114,61.748323006941064
115,62.33609898872601
116,62.872802988567855
117,63.35709100731037
118,63.94621098825155
119,64.4829149880934
121,65.55632298714045
120,65.01961898793525
