numOfAuthor,Approvecost
1,1.1528930000032744
2,1.6906470000066065
3,2.2284010000049648
4,2.766154999983428
5,3.303908999981786
6,3.8416629999801444
7,4.379416999978503
8,4.917171000016651
9,5.4549250000548
10,5.992679000092949
11,6.5255050000018855
12,7.068187000209036
13,7.605941000247185
14,8.143695000205753
15,8.681449000323482
16,9.21920300028205
17,9.756957000320199
18,10.294711000278767
19,10.832465000476077
20,11.370219000434645
21,11.907973000552374
22,12.445727000590523
23,12.98348100046951
24,13.52123500066682
25,14.058989000704969
26,14.596743000583956
27,15.134497000781266
28,15.659707000099843
29,16.210005000857564
30,16.747759000895712
31,17.28551300093386
32,17.82326700097201
33,18.361021001010158
34,18.898775001048307
35,19.436529001086456
36,19.974283001124604
37,20.512037001162753
38,21.0497910012009
39,21.58754500123905
40,22.125299001118037
41,22.663053000997024
42,23.20080700087601
43,23.738561000755
44,24.256602999639654
45,24.814069000512973
46,25.35182300039196
47,25.889577000270947
48,26.427331000149934
49,26.96508500002892
50,27.502838999907908
51,28.040592999786895
52,28.578346999665882
53,29.09235699821693
54,29.653854999423856
55,30.191608999302844
56,30.72936299918183
57,31.267116999060818
58,31.804870998939805
59,32.34262499881879
60,32.88037899869778
61,33.418132998576766
62,33.95588699845575
63,34.49364099833474
64,35.03139499821373
65,35.569148998092714
66,36.1069029979717
67,36.64465699785069
68,37.182410997729676
69,37.72016499760866
70,38.25791899748765
71,38.79567299736664
